Experiment,Seed,Pure_TabPFN,BaselineHead,LargeBaselineHead,KGHead_real,KGHead_permuted,KGHead_random,TabPFN_Time,Baseline_Time,LargeBaseline_Time,KGHead_Time,KGHead_permuted_Time,KGHead_random_Time,Repr_Extract_Time,KG_real_minus_Baseline,KG_real_minus_KG_permuted
Tr40_Ft200_Cp2,10,0.886,0.884,0.89,0.898,0.892,0.89,2.2823801040649414,0.2020258903503418,0.3732948303222656,0.9044070243835449,0.8939940929412842,0.8794717788696289,4.778126001358032,0.014000000000000012,0.006000000000000005
Tr40_Ft200_Cp2,11,0.926,0.914,0.906,0.932,0.924,0.908,2.245199680328369,0.19139695167541504,0.33968615531921387,0.9345250129699707,0.8890721797943115,0.8729748725891113,4.852997303009033,0.018000000000000016,0.008000000000000007
Tr40_Ft200_Cp2,12,0.914,0.924,0.926,0.914,0.938,0.92,2.2420339584350586,0.17500710487365723,0.3047046661376953,0.7806370258331299,0.7893760204315186,0.7557001113891602,4.170533180236816,-0.010000000000000009,-0.02399999999999991
Tr40_Ft200_Cp2,13,0.89,0.888,0.884,0.888,0.884,0.884,2.266583204269409,0.1933269500732422,0.35387492179870605,0.8761956691741943,0.7907710075378418,0.8063201904296875,4.503384113311768,0.0,0.0040000000000000036
Tr40_Ft200_Cp2,14,0.854,0.85,0.852,0.896,0.852,0.836,2.2339351177215576,0.209763765335083,0.3298971652984619,0.8197550773620605,0.7949440479278564,0.7864260673522949,4.314156770706177,0.04600000000000004,0.04400000000000004
Tr40_Ft200_Cp2,15,0.912,0.88,0.88,0.91,0.856,0.866,2.1249520778656006,0.18088483810424805,0.40717196464538574,0.8603570461273193,0.8071496486663818,0.8915338516235352,5.207550048828125,0.030000000000000027,0.05400000000000005
Tr40_Ft200_Cp2,16,0.896,0.9,0.902,0.892,0.89,0.882,2.565786123275757,0.20202279090881348,0.3369760513305664,0.767733097076416,0.7573099136352539,0.801243782043457,4.6173179149627686,-0.008000000000000007,0.0020000000000000018
Tr40_Ft200_Cp2,17,0.924,0.83,0.828,0.862,0.868,0.882,2.238083839416504,0.17252111434936523,0.365980863571167,1.040330171585083,0.9000608921051025,0.8264021873474121,4.710978031158447,0.03200000000000003,-0.006000000000000005
Tr40_Ft200_Cp2,18,0.856,0.886,0.89,0.844,0.854,0.848,2.3233940601348877,0.1972501277923584,0.3619849681854248,0.8700108528137207,0.8066880702972412,0.8038468360900879,4.741566896438599,-0.04200000000000004,-0.010000000000000009
Tr40_Ft200_Cp2,19,0.874,0.904,0.9,0.9,0.898,0.9,2.386047840118408,0.20364809036254883,0.34154176712036133,0.7741820812225342,0.7560391426086426,0.7633059024810791,4.379799842834473,-0.0040000000000000036,0.0020000000000000018
Tr40_Ft200_Cp6,0,0.75,0.732,0.74,0.758,0.756,0.754,1.9820449352264404,0.21730518341064453,0.44601917266845703,1.037187099456787,1.0559289455413818,0.9354081153869629,4.0109710693359375,0.026000000000000023,0.0020000000000000018
Tr40_Ft200_Cp6,1,0.794,0.788,0.812,0.79,0.74,0.786,2.2101759910583496,0.19309496879577637,0.37676286697387695,0.8471977710723877,0.8780369758605957,0.8545351028442383,4.374716281890869,0.0020000000000000018,0.050000000000000044
Tr40_Ft200_Cp6,2,0.796,0.75,0.69,0.77,0.768,0.748,2.2512340545654297,0.23247122764587402,0.4869668483734131,1.0027318000793457,0.9921610355377197,0.9180738925933838,4.264851093292236,0.020000000000000018,0.0020000000000000018
Tr40_Ft200_Cp6,3,0.792,0.788,0.778,0.796,0.768,0.796,2.1601948738098145,0.21104001998901367,0.3785829544067383,0.8933131694793701,0.8270697593688965,0.8233599662780762,4.214583158493042,0.008000000000000007,0.028000000000000025
Tr40_Ft200_Cp6,4,0.792,0.792,0.798,0.834,0.814,0.798,2.1092827320098877,0.21237611770629883,0.4732542037963867,1.0509581565856934,0.9993751049041748,0.9413776397705078,4.225501298904419,0.041999999999999926,0.020000000000000018
